ITEM	CATEGORY	EN (SV) ACTION	NEG	FIRST_TOKEN	FIRST_POS	LAST_TOKEN	LAST_POS	TYPE
rules the patient out	definiteNegatedExistence	forward	PREN	rules	NNS	out	IN	VP-A
rules the patient out for	definiteNegatedExistence	forward	PREN	rules	NNS	for	IN	PP
was ruled out	definiteNegatedExistence	backward	POST	was	VBD	out	IN	VP-P
with no	definiteNegatedExistence	forward	PREN	with	IN	no	DT	NP
without	definiteNegatedExistence	forward	PREN	without	IN	without	IN	NP
absence of	probableNegatedExistence	forward	PREP	absence	NN	of	IN	PP
adequate to rule her out	probableNegatedExistence	forward	PREP	adequate	NN	out	IN	VP-A
adequate to rule her out for	probableNegatedExistence	forward	PREP	adequate	NN	for	IN	PP
adequate to rule him out	probableNegatedExistence	forward	PREP	adequate	NN	out	IN	VP-A
adequate to rule him out for	probableNegatedExistence	forward	PREP	adequate	NN	for	IN	PP
adequate to rule out	probableNegatedExistence	forward	PREP	adequate	NN	out	IN	VP-A
adequate to rule out for	probableNegatedExistence	forward	PREP	adequate	NN	for	IN	PP
adequate to rule the patient out	probableNegatedExistence	forward	PREP	adequate	NN	out	IN	VP-A
adequate to rule the patient out for	probableNegatedExistence	forward	PREP	adequate	NN	for	IN	PP
can rule her out	probableNegatedExistence	forward	PREP	can	MD	out	IN	VP-A
can rule her out against	probableNegatedExistence	forward	PREP	can	MD	against	IN	PP
can rule her out for	probableNegatedExistence	forward	PREP	can	MD	for	IN	PP
can rule him out for	probableNegatedExistence	forward	PREP	can	MD	for	IN	PP
can rule out for	probableNegatedExistence	forward	PREP	can	MD	for	IN	PP
can rule the patient out	probableNegatedExistence	forward	PREP	can	MD	out	IN	VP-A
can rule the patient out for	probableNegatedExistence	forward	PREP	can	MD	for	IN	PP
cannot be excluded	probableNegatedExistence	backward	POSP	cannot	MD	excluded	VBN	VP-P
cannot exclude	probableNegatedExistence	forward	PREP	cannot	MD	exclude	NN	VP-A
cannot see	probableNegatedExistence	forward	PREP	cannot	MD	see	VB	VP-A
could be ruled out	probableNegatedExistence	bidirectional	POSP	could	MD	out	IN	VP-P
could not exclude	probableNegatedExistence	forward	PREP	could	MD	exclude	NN	VP-A
denying	probableNegatedExistence	forward	PREP	denying	VBG	denying	VBG	NP
do not think these findings speak for	probableNegatedExistence	forward	PREP	do	VB	for	IN	NP
doubt	probableNegatedExistence	forward	PREP	doubt	NN	doubt	NN	VP-A
doubtful	probableNegatedExistence	bidirectional	POSP	doubtful	NN	doubtful	NN	ADJP-P
exclude	probableNegatedExistence	forward	PREP	exclude	NN	exclude	NN	VP-A
fails to reveal	probableNegatedExistence	forward	PREP	fails	NNS	reveal	NN	VP-A
is not excluded	probableNegatedExistence	backward	POSP	is	VBZ	excluded	VBN	ADJP-P
is not indicated	probableNegatedExistence	backward	POSP	is	VBZ	indicated	VBN	ADJP-P
low probability	probableNegatedExistence	forward	PREP	low	JJ	probability	NN	NP
no abnormal	probableNegatedExistence	forward	PREP	no	DT	abnormal	JJ	NP
no cause of	probableNegatedExistence	forward	PREP	no	DT	of	IN	PP
no complaints of	probableNegatedExistence	forward	PREP	no	DT	of	IN	PP
no definite	probableNegatedExistence	forward	PREP	no	DT	definite	NN	NP
no demonstrated	probableNegatedExistence	forward	PREP	no	DT	demonstrated	VBN	NP
no findings of	probableNegatedExistence	forward	PREP	no	DT	of	IN	PP
no findings to indicate	probableNegatedExistence	forward	PREP	no	DT	indicate	NN	NP
no grounds for	probableNegatedExistence	forward	PREP	no	DT	for	IN	PP
no indication of	probableNegatedExistence	forward	PREP	no	DT	of	IN	PP
no obvious	probableNegatedExistence	forward	PREP	no	DT	obvious	JJ	NP
no sign of	probableNegatedExistence	forward	PREP	no	DT	of	IN	PP
no significant	probableNegatedExistence	forward	PREP	no	DT	significant	JJ	NP
no signs of	probableNegatedExistence	forward	PREP	no	DT	of	IN	PP
no suggestion of	probableNegatedExistence	forward	PREP	no	DT	of	IN	PP
no sure	probableNegatedExistence	forward	PREP	no	DT	sure	NN	NP
not a sure	probableNegatedExistence	forward	PREP	not	RB	sure	NN	NP
not appreciate	probableNegatedExistence	forward	PREP	not	RB	appreciate	NN	ADVP-A
not associated with	probableNegatedExistence	forward	PREP	not	RB	with	IN	PP
not complain of	probableNegatedExistence	forward	PREP	not	RB	of	IN	PP
not demonstrate	probableNegatedExistence	forward	PREP	not	RB	demonstrate	NN	ADVP-A
not feel	probableNegatedExistence	forward	PREP	not	RB	feel	NN	ADVP-A
not know of	probableNegatedExistence	forward	PREP	not	RB	of	IN	PP
not known to have	probableNegatedExistence	forward	PREP	not	RB	have	VB	ADVP-A
not reveal	probableNegatedExistence	forward	PREP	not	RB	reveal	NN	ADVP-A
not ruled out	probableNegatedExistence	backward	POSP	not	RB	out	IN	ADVP-P
not see	probableNegatedExistence	forward	PREP	not	RB	see	VB	ADVP-A
not think	probableNegatedExistence	forward	PREP	not	RB	think	NN	ADVP-A
not to be	probableNegatedExistence	forward	PREP	not	RB	be	VB	ADVP-A
rather than	probableNegatedExistence	forward	PREP	rather	RB	than	IN	NP
sufficient to rule her out	probableNegatedExistence	forward	PREP	sufficient	NN	out	IN	VP-A
sufficient to rule her out against	probableNegatedExistence	forward	PREP	sufficient	NN	against	IN	PP
sufficient to rule her out for	probableNegatedExistence	forward	PREP	sufficient	NN	for	IN	PP
sufficient to rule him out	probableNegatedExistence	forward	PREP	sufficient	NN	out	IN	VP-A
sufficient to rule him out against	probableNegatedExistence	forward	PREP	sufficient	NN	against	IN	PP
sufficient to rule him out for	probableNegatedExistence	forward	PREP	sufficient	NN	for	IN	PP
sufficient to rule out	probableNegatedExistence	forward	PREP	sufficient	NN	out	IN	VP-A
sufficient to rule out against	probableNegatedExistence	forward	PREP	sufficient	NN	against	IN	PP
sufficient to rule out for	probableNegatedExistence	forward	PREP	sufficient	NN	for	IN	PP
sufficient to rule the patient out	probableNegatedExistence	forward	PREP	sufficient	NN	out	IN	VP-A
sufficient to rule the patient out against	probableNegatedExistence	forward	PREP	sufficient	NN	against	IN	PP
sufficient to rule the patient out for	probableNegatedExistence	forward	PREP	sufficient	NN	for	IN	PP
test for	probableNegatedExistence	forward	PREP	test	NN	for	IN	PP
to exclude	probableNegatedExistence	forward	PREP	to	TO	exclude	NN	VP-A
unable to adequately assess	probableNegatedExistence	forward	PREP	unable	JJ	assess	NN	VP-A
unable to assess	probableNegatedExistence	forward	PREP	unable	JJ	assess	NN	VP-A
unlikely	probableNegatedExistence	backward	POSP	unlikely	JJ	unlikely	JJ	ADJP-P
unremarkable for	probableNegatedExistence	forward	PREP	unremarkable	JJ	for	IN	PP
very little that speaks for	probableNegatedExistence	forward	PREP	very	RB	for	IN	PP
without indication of	probableNegatedExistence	forward	PREP	without	IN	of	IN	PP
without sign of	probableNegatedExistence	forward	PREP	without	IN	of	IN	PP
gram negative	pseudoNegation	forward	PSEU	gram	NN	negative	JJ	
no change	pseudoNegation	forward	PSEU	no	DT	change	NN	
no definite change	pseudoNegation	forward	PSEU	no	DT	change	NN	
no increase	pseudoNegation	forward	PSEU	no	DT	increase	NN	
no significant change	pseudoNegation	forward	PSEU	no	DT	change	NN	
no significant interval change	pseudoNegation	forward	PSEU	no	DT	change	NN	
no suspicious change	pseudoNegation	forward	PSEU	no	DT	change	NN	
not cause	pseudoNegation	forward	PSEU	not	RB	cause	NN	
not drain	pseudoNegation	forward	PSEU	not	RB	drain	NN	
not extend	pseudoNegation	forward	PSEU	not	RB	extend	NN	
not necessarily	pseudoNegation	forward	PSEU	not	RB	necessarily	RB	
not only	pseudoNegation	forward	PSEU	not	RB	only	RB	
positive study for	pseudoNegation	forward	PSEU	positive	JJ	for	IN	
without difficulty	pseudoNegation	forward	PSEU	without	IN	difficulty	NN	
did not rule out	pseudoNegation	forward	PSEU	did	VBD	out	IN	
no evidence to suggest	definiteNegatedExistence	forward	PREN	no	DT	suggest	NN	VP-A
no interval change	definiteNegatedExistence	forward	PREN	no	DT	change	NN	NP
no mammographic evidence of	definiteNegatedExistence	forward	PREN	no	DT	of	IN	PP
no new evidence	definiteNegatedExistence	forward	PREN	no	DT	evidence	NN	NP
no other evidence	definiteNegatedExistence	forward	PREN	no	DT	evidence	NN	NP
no radiographic evidence of	definiteNegatedExistence	forward	PREN	no	DT	of	IN	PP
not appear	probableNegatedExistence	backward	POSP	not	RB	appear	VB	ADVP-P
without any evidence of	definiteNegatedExistence	forward	PREN	without	IN	of	IN	PP
without evidence	definiteNegatedExistence	forward	PREN	without	IN	evidence	NN	NP
has resolved	definiteNegatedExistence	backward	POST	has	VBZ	resolved	VBN	VP-P
have resolved	definiteNegatedExistence	backward	POST	have	VB	resolved	VBN	VP-P
no evidence of	definiteNegatedExistence	forward	PREN	no	DT	of	PP	PP
without evidence of	definiteNegatedExistence	forward	PREN	without	IN	of	PP	PP
no echocardiographic signs of	definiteNegatedExistence	forward	PREN	no	DT	of	IN	PP
not believe	definiteNegatedExistence	forward	PREN	not	RB	believe	VB	ADVP-A
no findings	definiteNegatedExistence	forward	PREN	no	DT	findings	NN	NP
no history of	definiteNegatedExistence	forward	PREN	no	DT	of	IN	PP
not be restarted	definiteNegatedExistence	backward	POST	not	RB	started	VBN	ADVP-P
